column,missing_count,missing_pct
id,0,0
delivery_person_id,0,0
delivery_person_age,0,0
delivery_person_ratings,0,0
restaurant_latitude,0,0
restaurant_longitude,0,0
delivery_location_latitude,0,0
delivery_location_longitude,0,0
order_date,0,0
time_orderd,5013,12.52
time_order_picked,3473,8.67
weather_conditions,0,0
road_traffic_density,0,0
vehicle_condition,0,0
type_of_order,0,0
type_of_vehicle,0,0
multiple_deliveries,0,0
festival,0,0
city,0,0
time_taken_min,0,0
distance_km,0,0
pickup_delay_min,0,0
order_hour,5013,12.52
order_day_of_week,0,0
order_month,0,0
is_weekend,0,0
age_group,0,0
is_rush_hour,5013,12.52
road_traffic_density_ord,0,0
