Feature,Coefficient
(Intercept),27.957755790139903
distance_km,4.18254668003602e-5
pickup_delay_min,0.0013985962391719782
order_hour,0.11559538834391471
is_weekend,-0.15201806383179367
is_rush_hour,-0.1162959020976306
delivery_person_age,0.4079911418494316
delivery_person_ratings,-4.326094298449995
multiple_deliveries,3.19545874171405
vehicle_condition,-2.2756309088933993
road_traffic_density_ord,2.471658627978398
weather_conditionsFog,-0.037170438548925086
weather_conditionsSandstorms,-2.5831554130710477
weather_conditionsStormy,-2.4654228847629214
weather_conditionsSunny,-6.552469937847067
weather_conditionsWindy,-2.3238596106372165
type_of_orderDrinks,-0.058516350551385765
type_of_orderMeal,0.011864070795911317
type_of_orderSnack,0.041439319308206636
type_of_vehicleelectric_scooter,1.1174354943612976
type_of_vehiclemotorcycle,0.5701643104784966
type_of_vehiclescooter,NA
festivalYes,10.754390372869807
`citySemi-Urban`,10.191902889961474
cityUrban,-2.085589090694688
